"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 18:05:15 GMT 2023","Sun Apr 23 18:05:15 GMT 2023","39","","com.olga.finance.AllureSimpleTest","","com.olga.finance.AllureSimpleTest","allureSimpleTest","allureSimpleTest displayName",""
"passed","Sun Apr 23 18:05:15 GMT 2023","Sun Apr 23 18:05:15 GMT 2023","0","","com.olga.finance.AllureSimpleTest","","com.olga.finance.AllureSimpleTest","allureFakeParameterizedTest","allureFakeParameterizedTest",""
"passed","Sun Apr 23 18:05:11 GMT 2023","Sun Apr 23 18:05:15 GMT 2023","3519","","com.olga.finance.AddProjectTest","","com.olga.finance.AddProjectTest","addProjectTest","addProjectTest",""
