"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 29 19:14:16 GMT 2023","Sat Apr 29 19:14:19 GMT 2023","3362","","com.olga.finance.ChangeTeamTest","","com.olga.finance.ChangeTeamTest","ChangeHumanTest","Изменения существующего клиента","Проверка изменения существующего Клиента."
"passed","Sat Apr 29 19:14:10 GMT 2023","Sat Apr 29 19:14:13 GMT 2023","3088","","com.olga.finance.TeamFilterTest","","com.olga.finance.TeamFilterTest","RateFilterTest","Тестирование фильтра Default Rate","Проверка фильтра Default Rate."
"passed","Sat Apr 29 19:14:03 GMT 2023","Sat Apr 29 19:14:07 GMT 2023","4196","","com.olga.finance.AddDoubleProjectTest","","com.olga.finance.AddDoubleProjectTest","addProjectTest","Дублирование проекта в систему","Проверка на не создание дублей проектов в системе."
