"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Страница 'Projects'","Проверка работоспособности фильтра","","0","0","1","0","0"
"Страница 'Projects'","Проверка дублирования проекта","","0","0","2","0","0"
